iter,T,current_profit,best_profit,neighbor_profit,accepted
552,0.00143481,28109.4,28109.4,28034.5,0
553,0.00140611,28109.4,28109.4,28047.8,0
554,0.00137799,28109.4,28109.4,27974.7,0
555,0.00135043,28109.4,28109.4,28014.9,0
556,0.00132342,28109.4,28109.4,27952.7,0
557,0.00129695,28109.4,28109.4,27957.4,0
558,0.00127101,28109.4,28109.4,28056.1,0
559,0.00124559,28109.4,28109.4,28084.4,0
560,0.00122068,28109.4,28109.4,27952.7,0
561,0.00119627,28109.4,28109.4,28042,0
562,0.00117234,28109.4,28109.4,28077.9,0
563,0.0011489,28109.4,28109.4,28172.4,1
564,0.00112592,28172.4,28172.4,28138.1,0
565,0.0011034,28172.4,28172.4,28130.4,0
566,0.00108133,28172.4,28172.4,28065.5,0
567,0.0010597,28172.4,28172.4,28062.6,0
568,0.00103851,28172.4,28172.4,28138.3,0
569,0.00101774,28172.4,28172.4,28152.2,0
570,0.000997386,28172.4,28172.4,28033.7,0
571,0.000977438,28172.4,28172.4,28105,0
572,0.000957889,28172.4,28172.4,28109.9,0
573,0.000938731,28172.4,28172.4,28127.3,0
574,0.000919957,28172.4,28172.4,28157.6,0
575,0.000901558,28172.4,28172.4,28108.1,0
576,0.000883527,28172.4,28172.4,28077.1,0
577,0.000865856,28172.4,28172.4,28052.2,0
578,0.000848539,28172.4,28172.4,28134.9,0
579,0.000831568,28172.4,28172.4,28136.7,0
580,0.000814937,28172.4,28172.4,28136.9,0
581,0.000798638,28172.4,28172.4,28079.4,0
